"Species","Measurement","Value"
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",4.7
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",4.3
"Iris-setosa","Sepal.Length",5.8
"Iris-setosa","Sepal.Length",5.7
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5.7
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",4.7
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5.4
"Iris-setosa","Sepal.Length",5.2
"Iris-setosa","Sepal.Length",5.5
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.5
"Iris-setosa","Sepal.Length",4.9
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",4.5
"Iris-setosa","Sepal.Length",4.4
"Iris-setosa","Sepal.Length",5
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.8
"Iris-setosa","Sepal.Length",5.1
"Iris-setosa","Sepal.Length",4.6
"Iris-setosa","Sepal.Length",5.3
"Iris-setosa","Sepal.Length",5
"Iris-versicolor","Sepal.Length",7
"Iris-versicolor","Sepal.Length",6.4
"Iris-versicolor","Sepal.Length",6.9
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",6.5
"Iris-versicolor","Sepal.Length",5.7
"Iris-versicolor","Sepal.Length",6.3
"Iris-versicolor","Sepal.Length",4.9
"Iris-versicolor","Sepal.Length",6.6
"Iris-versicolor","Sepal.Length",5.2
"Iris-versicolor","Sepal.Length",5
"Iris-versicolor","Sepal.Length",5.9
"Iris-versicolor","Sepal.Length",6
"Iris-versicolor","Sepal.Length",6.1
"Iris-versicolor","Sepal.Length",5.6
"Iris-versicolor","Sepal.Length",6.7
"Iris-versicolor","Sepal.Length",5.6
"Iris-versicolor","Sepal.Length",5.8
"Iris-versicolor","Sepal.Length",6.2
"Iris-versicolor","Sepal.Length",5.6
"Iris-versicolor","Sepal.Length",5.9
"Iris-versicolor","Sepal.Length",6.1
"Iris-versicolor","Sepal.Length",6.3
"Iris-versicolor","Sepal.Length",6.1
"Iris-versicolor","Sepal.Length",6.4
"Iris-versicolor","Sepal.Length",6.6
"Iris-versicolor","Sepal.Length",6.8
"Iris-versicolor","Sepal.Length",6.7
"Iris-versicolor","Sepal.Length",6
"Iris-versicolor","Sepal.Length",5.7
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",5.8
"Iris-versicolor","Sepal.Length",6
"Iris-versicolor","Sepal.Length",5.4
"Iris-versicolor","Sepal.Length",6
"Iris-versicolor","Sepal.Length",6.7
"Iris-versicolor","Sepal.Length",6.3
"Iris-versicolor","Sepal.Length",5.6
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",5.5
"Iris-versicolor","Sepal.Length",6.1
"Iris-versicolor","Sepal.Length",5.8
"Iris-versicolor","Sepal.Length",5
"Iris-versicolor","Sepal.Length",5.6
"Iris-versicolor","Sepal.Length",5.7
"Iris-versicolor","Sepal.Length",5.7
"Iris-versicolor","Sepal.Length",6.2
"Iris-versicolor","Sepal.Length",5.1
"Iris-versicolor","Sepal.Length",5.7
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",5.8
"Iris-virginica","Sepal.Length",7.1
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",6.5
"Iris-virginica","Sepal.Length",7.6
"Iris-virginica","Sepal.Length",4.9
"Iris-virginica","Sepal.Length",7.3
"Iris-virginica","Sepal.Length",6.7
"Iris-virginica","Sepal.Length",7.2
"Iris-virginica","Sepal.Length",6.5
"Iris-virginica","Sepal.Length",6.4
"Iris-virginica","Sepal.Length",6.8
"Iris-virginica","Sepal.Length",5.7
"Iris-virginica","Sepal.Length",5.8
"Iris-virginica","Sepal.Length",6.4
"Iris-virginica","Sepal.Length",6.5
"Iris-virginica","Sepal.Length",7.7
"Iris-virginica","Sepal.Length",7.7
"Iris-virginica","Sepal.Length",6
"Iris-virginica","Sepal.Length",6.9
"Iris-virginica","Sepal.Length",5.6
"Iris-virginica","Sepal.Length",7.7
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",6.7
"Iris-virginica","Sepal.Length",7.2
"Iris-virginica","Sepal.Length",6.2
"Iris-virginica","Sepal.Length",6.1
"Iris-virginica","Sepal.Length",6.4
"Iris-virginica","Sepal.Length",7.2
"Iris-virginica","Sepal.Length",7.4
"Iris-virginica","Sepal.Length",7.9
"Iris-virginica","Sepal.Length",6.4
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",6.1
"Iris-virginica","Sepal.Length",7.7
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",6.4
"Iris-virginica","Sepal.Length",6
"Iris-virginica","Sepal.Length",6.9
"Iris-virginica","Sepal.Length",6.7
"Iris-virginica","Sepal.Length",6.9
"Iris-virginica","Sepal.Length",5.8
"Iris-virginica","Sepal.Length",6.8
"Iris-virginica","Sepal.Length",6.7
"Iris-virginica","Sepal.Length",6.7
"Iris-virginica","Sepal.Length",6.3
"Iris-virginica","Sepal.Length",6.5
"Iris-virginica","Sepal.Length",6.2
"Iris-virginica","Sepal.Length",5.9
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",3.2
"Iris-setosa","Sepal.Width",3.1
"Iris-setosa","Sepal.Width",3.6
"Iris-setosa","Sepal.Width",3.9
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",2.9
"Iris-setosa","Sepal.Width",3.1
"Iris-setosa","Sepal.Width",3.7
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",4
"Iris-setosa","Sepal.Width",4.4
"Iris-setosa","Sepal.Width",3.9
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",3.8
"Iris-setosa","Sepal.Width",3.8
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3.7
"Iris-setosa","Sepal.Width",3.6
"Iris-setosa","Sepal.Width",3.3
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3.2
"Iris-setosa","Sepal.Width",3.1
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",4.1
"Iris-setosa","Sepal.Width",4.2
"Iris-setosa","Sepal.Width",3.1
"Iris-setosa","Sepal.Width",3.2
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",3.1
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",3.4
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",2.3
"Iris-setosa","Sepal.Width",3.2
"Iris-setosa","Sepal.Width",3.5
"Iris-setosa","Sepal.Width",3.8
"Iris-setosa","Sepal.Width",3
"Iris-setosa","Sepal.Width",3.8
"Iris-setosa","Sepal.Width",3.2
"Iris-setosa","Sepal.Width",3.7
"Iris-setosa","Sepal.Width",3.3
"Iris-versicolor","Sepal.Width",3.2
"Iris-versicolor","Sepal.Width",3.2
"Iris-versicolor","Sepal.Width",3.1
"Iris-versicolor","Sepal.Width",2.3
"Iris-versicolor","Sepal.Width",2.8
"Iris-versicolor","Sepal.Width",2.8
"Iris-versicolor","Sepal.Width",3.3
"Iris-versicolor","Sepal.Width",2.4
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",2.7
"Iris-versicolor","Sepal.Width",2
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.2
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",3.1
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.7
"Iris-versicolor","Sepal.Width",2.2
"Iris-versicolor","Sepal.Width",2.5
"Iris-versicolor","Sepal.Width",3.2
"Iris-versicolor","Sepal.Width",2.8
"Iris-versicolor","Sepal.Width",2.5
"Iris-versicolor","Sepal.Width",2.8
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.8
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",2.6
"Iris-versicolor","Sepal.Width",2.4
"Iris-versicolor","Sepal.Width",2.4
"Iris-versicolor","Sepal.Width",2.7
"Iris-versicolor","Sepal.Width",2.7
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",3.4
"Iris-versicolor","Sepal.Width",3.1
"Iris-versicolor","Sepal.Width",2.3
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.5
"Iris-versicolor","Sepal.Width",2.6
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.6
"Iris-versicolor","Sepal.Width",2.3
"Iris-versicolor","Sepal.Width",2.7
"Iris-versicolor","Sepal.Width",3
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",2.9
"Iris-versicolor","Sepal.Width",2.5
"Iris-versicolor","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",3.3
"Iris-virginica","Sepal.Width",2.7
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.9
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.5
"Iris-virginica","Sepal.Width",2.9
"Iris-virginica","Sepal.Width",2.5
"Iris-virginica","Sepal.Width",3.6
"Iris-virginica","Sepal.Width",3.2
"Iris-virginica","Sepal.Width",2.7
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.5
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",3.2
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",3.8
"Iris-virginica","Sepal.Width",2.6
"Iris-virginica","Sepal.Width",2.2
"Iris-virginica","Sepal.Width",3.2
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",2.7
"Iris-virginica","Sepal.Width",3.3
"Iris-virginica","Sepal.Width",3.2
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",3.8
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",2.8
"Iris-virginica","Sepal.Width",2.6
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",3.4
"Iris-virginica","Sepal.Width",3.1
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",3.1
"Iris-virginica","Sepal.Width",3.1
"Iris-virginica","Sepal.Width",3.1
"Iris-virginica","Sepal.Width",2.7
"Iris-virginica","Sepal.Width",3.2
"Iris-virginica","Sepal.Width",3.3
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",2.5
"Iris-virginica","Sepal.Width",3
"Iris-virginica","Sepal.Width",3.4
"Iris-virginica","Sepal.Width",3
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.7
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.1
"Iris-setosa","Petal.Length",1.2
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.7
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.7
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1
"Iris-setosa","Petal.Length",1.7
"Iris-setosa","Petal.Length",1.9
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.2
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.3
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.9
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.6
"Iris-setosa","Petal.Length",1.4
"Iris-setosa","Petal.Length",1.5
"Iris-setosa","Petal.Length",1.4
"Iris-versicolor","Petal.Length",4.7
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",4.9
"Iris-versicolor","Petal.Length",4
"Iris-versicolor","Petal.Length",4.6
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",4.7
"Iris-versicolor","Petal.Length",3.3
"Iris-versicolor","Petal.Length",4.6
"Iris-versicolor","Petal.Length",3.9
"Iris-versicolor","Petal.Length",3.5
"Iris-versicolor","Petal.Length",4.2
"Iris-versicolor","Petal.Length",4
"Iris-versicolor","Petal.Length",4.7
"Iris-versicolor","Petal.Length",3.6
"Iris-versicolor","Petal.Length",4.4
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",4.1
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",3.9
"Iris-versicolor","Petal.Length",4.8
"Iris-versicolor","Petal.Length",4
"Iris-versicolor","Petal.Length",4.9
"Iris-versicolor","Petal.Length",4.7
"Iris-versicolor","Petal.Length",4.3
"Iris-versicolor","Petal.Length",4.4
"Iris-versicolor","Petal.Length",4.8
"Iris-versicolor","Petal.Length",5
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",3.5
"Iris-versicolor","Petal.Length",3.8
"Iris-versicolor","Petal.Length",3.7
"Iris-versicolor","Petal.Length",3.9
"Iris-versicolor","Petal.Length",5.1
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",4.5
"Iris-versicolor","Petal.Length",4.7
"Iris-versicolor","Petal.Length",4.4
"Iris-versicolor","Petal.Length",4.1
"Iris-versicolor","Petal.Length",4
"Iris-versicolor","Petal.Length",4.4
"Iris-versicolor","Petal.Length",4.6
"Iris-versicolor","Petal.Length",4
"Iris-versicolor","Petal.Length",3.3
"Iris-versicolor","Petal.Length",4.2
"Iris-versicolor","Petal.Length",4.2
"Iris-versicolor","Petal.Length",4.2
"Iris-versicolor","Petal.Length",4.3
"Iris-versicolor","Petal.Length",3
"Iris-versicolor","Petal.Length",4.1
"Iris-virginica","Petal.Length",6
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.9
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",5.8
"Iris-virginica","Petal.Length",6.6
"Iris-virginica","Petal.Length",4.5
"Iris-virginica","Petal.Length",6.3
"Iris-virginica","Petal.Length",5.8
"Iris-virginica","Petal.Length",6.1
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.3
"Iris-virginica","Petal.Length",5.5
"Iris-virginica","Petal.Length",5
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.3
"Iris-virginica","Petal.Length",5.5
"Iris-virginica","Petal.Length",6.7
"Iris-virginica","Petal.Length",6.9
"Iris-virginica","Petal.Length",5
"Iris-virginica","Petal.Length",5.7
"Iris-virginica","Petal.Length",4.9
"Iris-virginica","Petal.Length",6.7
"Iris-virginica","Petal.Length",4.9
"Iris-virginica","Petal.Length",5.7
"Iris-virginica","Petal.Length",6
"Iris-virginica","Petal.Length",4.8
"Iris-virginica","Petal.Length",4.9
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",5.8
"Iris-virginica","Petal.Length",6.1
"Iris-virginica","Petal.Length",6.4
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",6.1
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",5.5
"Iris-virginica","Petal.Length",4.8
"Iris-virginica","Petal.Length",5.4
"Iris-virginica","Petal.Length",5.6
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.1
"Iris-virginica","Petal.Length",5.9
"Iris-virginica","Petal.Length",5.7
"Iris-virginica","Petal.Length",5.2
"Iris-virginica","Petal.Length",5
"Iris-virginica","Petal.Length",5.2
"Iris-virginica","Petal.Length",5.4
"Iris-virginica","Petal.Length",5.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.5
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.1
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.6
"Iris-setosa","Petal.Width",0.4
"Iris-setosa","Petal.Width",0.3
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-setosa","Petal.Width",0.2
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.6
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.1
"Iris-versicolor","Petal.Width",1.8
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.2
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.7
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.1
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.2
"Iris-versicolor","Petal.Width",1.6
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.6
"Iris-versicolor","Petal.Width",1.5
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.2
"Iris-versicolor","Petal.Width",1.4
"Iris-versicolor","Petal.Width",1.2
"Iris-versicolor","Petal.Width",1
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.2
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.3
"Iris-versicolor","Petal.Width",1.1
"Iris-versicolor","Petal.Width",1.3
"Iris-virginica","Petal.Width",2.5
"Iris-virginica","Petal.Width",1.9
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.2
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",1.7
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.5
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",1.9
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",2.4
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.2
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",1.5
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",1.6
"Iris-virginica","Petal.Width",1.9
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",2.2
"Iris-virginica","Petal.Width",1.5
"Iris-virginica","Petal.Width",1.4
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",2.4
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",1.8
"Iris-virginica","Petal.Width",2.1
"Iris-virginica","Petal.Width",2.4
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",1.9
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",2.5
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",1.9
"Iris-virginica","Petal.Width",2
"Iris-virginica","Petal.Width",2.3
"Iris-virginica","Petal.Width",1.8
