"Location","Jan 1","Feb 1","Mar 1"
"World","5,440,722","5,682,684","5,954,004"
"United States","819,197","881,867","941,112"
"Brazil","618,984","626,854","649,134"
"India","481,486","496,242","514,023"
"Russia","309,707","332,012","352,446"
"Mexico","301,663","310,131","318,149"
"Peru","202,653","205,505","210,538"
"United Kingdom","149,790","157,677","161,754"
"Italy","137,402","146,498","154,767"
"Indonesia","144,096","144,348","148,660"
"Colombia","129,901","134,079","138,693"
"Iran","131,606","132,454","136,838"
"France","121,149","128,120","135,262"
"Argentina","117,146","120,988","126,152"
"Germany","112,109","117,974","122,937"
"Poland","97,559","105,435","111,586"
"Ukraine","96,089","100,395","106,129"
"Spain","90,556","95,902","99,875"
"South Africa","91,145","95,093","99,412"
"Turkey","82,361","87,416","94,445"
"Romania","58,752","60,025","63,414"
"Philippines","51,504","54,003","56,451"
"Hungary","39,186","41,471","44,051"
"Chile","39,115","39,721","42,353"
"Vietnam","32,394","37,777","40,252"
"Czech Republic","36,324","37,347","38,750"
"Canada","30,280","33,722","36,537"
"Bulgaria","30,955","33,318","35,581"
"Ecuador","33,672","34,514","35,244"
"Malaysia","31,487","31,978","32,749"
"Belgium","28,403","29,161","30,208"
"Pakistan","28,927","29,269","30,178"
"Bangladesh","28,076","28,425","29,045"
"Tunisia","25,569","26,288","27,784"
"Greece","20,790","23,500","25,860"
"Iraq","24,158","24,389","24,989"
"Egypt","21,752","22,635","24,074"
"Japan","18,393","18,792","23,633"
"Thailand","21,708","22,185","22,976"
"Netherlands","20,920","21,265","21,554"
"Bolivia","19,680","20,919","21,441"
"Portugal","18,955","19,905","21,063"
"Myanmar","19,272","19,310","19,372"
"Kazakhstan","18,231","18,528","18,947"
"Slovakia","16,665","17,850","18,530"
"Paraguay","16,629","17,260","18,359"
"Sweden","15,377","16,245","17,416"
"Guatemala","16,106","16,379","16,971"
"Sri Lanka","14,995","15,473","16,244"
"Georgia","13,860","15,016","16,199"
"Morocco","14,849","15,400","15,988"
"Bosnia and Herzegovina","13,442","14,447","15,459"
"Serbia","12,714","13,629","15,241"
"Croatia","12,538","13,827","15,069"
"Austria","13,351","13,617","14,213"
"Jordan","12,653","13,217","13,835"
"Switzerland","11,921","12,372","12,683"
"Nepal","11,594","11,752","11,938"
"Moldova","10,275","10,666","11,228"
"Honduras","10,434","10,504","10,775"
"Israel","8,258","8,990","10,234"
"Lebanon","9,119","9,606","10,091"
"Azerbaijan","8,358","8,734","9,417"
"North Macedonia","7,976","8,439","9,025"
"Saudi Arabia","8,877","8,940","8,998"
"Cuba","8,322","8,399","8,494"
"Armenia","7,975","8,056","8,478"
"Lithuania","7,404","7,891","8,431"
"South Korea","5,625","6,772","8,170"
"Panama","7,427","7,716","8,079"
"Costa Rica","7,357","7,555","8,031"
"Afghanistan","7,356","7,414","7,598"
"Ethiopia","6,926","7,337","7,462"
"Slovenia","6,124","6,457","7,049"
"Uruguay","6,169","6,459","6,977"
"Algeria","6,271","6,579","6,835"
"Ireland","6,070","6,346","6,497"
"Belarus","5,578","6,052","6,480"
"Libya","5,710","6,017","6,261"
"China","5,699","5,700","6,233"
"Kenya","5,376","5,583","5,639"
"Venezuela","5,324","5,440","5,633"
"Palestine","4,934","5,104","5,513"
"Zimbabwe","4,997","5,338","5,395"
"Latvia","4,570","4,873","5,224"
"Australia","2,239","3,758","5,171"
"Denmark","3,266","3,755","4,612"
"Dominican Republic","4,247","4,307","4,368"
"Oman","4,116","4,146","4,244"
"Puerto Rico","3,305","3,855","4,110"
"El Salvador","3,824","3,899","4,071"
"Namibia","3,616","3,967","4,009"
"Zambia","3,730","3,917","3,952"
"Sudan","3,337","3,533","3,909"
"Trinidad and Tobago","2,850","3,404","3,628"
"Uganda","3,294","3,538","3,588"
"Albania","3,217","3,346","3,469"
"Nigeria","3,031","3,136","3,142"
"Kosovo","2,980","3,005","3,104"
"Syria","2,897","2,989","3,075"
"Cambodia","3,012","3,015","3,032"
"Kyrgyzstan","2,802","2,884","2,958"
"Jamaica","2,473","2,658","2,813"
"Montenegro","2,407","2,555","2,676"
"Botswana","2,444","2,581","2,619"
"Malawi","2,364","2,561","2,615"
"Kuwait","2,468","2,497","2,538"
"Finland","1,745","2,262","2,386"
"United Arab Emirates","2,164","2,243","2,301"
"Estonia","1,938","2,037","2,248"
"Mozambique","1,976","2,173","2,192"
"Yemen","1,984","2,012","2,135"
"Mongolia","1,986","2,040","2,096"
"Senegal","1,890","1,946","1,960"
"Cameroon","1,851","1,880","1,923"
"Angola","1,757","1,895","1,900"
"Norway","1,305","1,465","1,659"
"Uzbekistan","1,485","1,568","1,636"
"Rwanda","1,350","1,440","1,457"
"Bahrain","1,394","1,408","1,454"
"Ghana","1,287","1,395","1,442"
"Eswatini","1,303","1,375","1,390"
"Madagascar","1,027","1,274","1,366"
"Somalia","1,333","1,335","1,348"
"DR Congo","1,205","1,278","1,335"
"Suriname","1,189","1,261","1,316"
"Guyana","1,052","1,166","1,220"
"Singapore","828","855","1,019"
"Luxembourg","916","952","991"
"Mauritania","863","953","979"
"Guadeloupe","831","873","918"
"Mauritius","786","786","904"
"Martinique","784","832","894"
"Cyprus","643","747","859"
"Fiji","698","801","834"
"Haiti","766","804","820"
"Tanzania","737","778","798"
"Ivory Coast","712","785","793"
"Bahamas","717","746","771"
"Mali","660","714","722"
"Lesotho","671","693","697"
"Qatar","618","645","670"
"Réunion","409","500","666"
"Belize","598","625","650"
"French Polynesia","636","636","641"
"Papua New Guinea","590","597","638"
"Laos","372","547","621"
"Malta","477","550","605"
"Guinea","391","416","440"
"Cape Verde","352","396","401"
"French Guiana","339","371","391"
"Congo","367","371","378"
"Burkina Faso","318","366","375"
"Gambia","343","364","365"
"Saint Lucia","295","328","358"
"Guam","270","290","322"
"Barbados","260","279","316"
"Niger","274","298","307"
"Gabon","288","301","303"
"New Caledonia","281","283","299"
"Maldives","262","277","297"
"Liberia","287","290","294"
"Togo","248","268","272"
"Curaçao","189","229","261"
"Nicaragua","217","220","224"
"Grenada","200","210","216"
"Aruba","181","193","211"
"Chad","181","190","190"
"Djibouti","189","189","189"
"Mayotte","185","187","187"
"Equatorial Guinea","175","182","182"
"Guinea-Bissau","149","156","167"
"Benin","161","163","163"
"Seychelles","126","142","163"
"Comoros","158","159","160"
"Andorra","140","145","151"
"South Sudan","136","137","137"
"Antigua and Barbuda","119","127","135"
"Timor-Leste","122","122","128"
"Sierra Leone","123","125","125"
"Tajikistan","125","125","125"
"Bermuda","110","116","123"
"Central African Republic","101","110","113"
"Jersey","89","100","112"
"San Marino","100","109","112"
"U.S. Virgin Islands","89","101","109"
"Saint Vincent and the Grenadines","83","94","106"
"Eritrea","76","98","103"
"Gibraltar","100","101","101"
"Solomon Islands","0","12","99"
"Sint Maarten","75","79","85"
"Isle of Man","67","71","80"
"Brunei","57","59","76"
"Liechtenstein","69","71","75"
"São Tomé and Príncipe","57","69","72"
"British Virgin Islands","39","49","62"
"Iceland","37","46","62"
"Dominica","47","51","57"
"New Zealand","51","53","56"
"Monaco","38","47","51"
"Saint Martin","40","43","44"
"Saint Kitts and Nevis","28","33","42"
"Turks and Caicos Islands","26","34","36"
"Guernsey","24","30","31"
"Northern Mariana Islands","13","23","30"
"Bonaire","23","27","28"
"Faroe Islands","14","18","28"
"Greenland","1","6","18"
"Cayman Islands","11","15","17"
"Burundi","14","15","15"
"Other","13","13","13"
"Kiribati","0","0","11"
"Anguilla","5","8","9"
"Wallis and Futuna","7","7","7"
"Bhutan","3","4","6"
"Palau","0","0","6"
"Saint Barthélemy","4","4","4"
"Sint Eustatius","0","1","3"
"Montserrat","1","1","2"
"Saint Pierre and Miquelon","0","1","1"
"American Samoa","0","0","0"
"Cook Islands","0","0","0"
"North Korea","0","0","0"
"Falkland Islands","0","0","0"
"Holy See","0","0","0"
"Marshall Islands","0","0","0"
"Micronesia","0","0","0"
"Nauru","0","0","0"
"Niue","0","0","0"
"Pitcairn Islands","0","0","0"
"Saba","0","0","0"
"Saint Helena","0","0","0"
"Samoa","0","0","0"
"Tokelau","0","0","0"
"Tonga","0","0","0"
"Turkmenistan","0","0","0"
"Tuvalu","0","0","0"
"Vanuatu","0","0","0"
